date,users
26/8/2021,3775
27/8/2021,3773
28/8/2021,3600
29/8/2021,2721
30/8/2021,2307
31/8/2021,3216
1/9/2021,3994
2/9/2021,4064
3/9/2021,4201
4/9/2021,3987
5/9/2021,3116
6/9/2021,2561
7/9/2021,4185
8/9/2021,4630
9/9/2021,4444
10/9/2021,4550
11/9/2021,4319
12/9/2021,3160
13/9/2021,2824
14/9/2021,4132
15/9/2021,4553
16/9/2021,4444
17/9/2021,4621
18/9/2021,4258
19/9/2021,3092
20/9/2021,2324
21/9/2021,3342
22/9/2021,4100
23/9/2021,4821
24/9/2021,4855
25/9/2021,4604
26/9/2021,3256
27/9/2021,3195
28/9/2021,5045
29/9/2021,5265
30/9/2021,4988
1/10/2021,5419
2/10/2021,5130
3/10/2021,3861
4/10/2021,3317
5/10/2021,4156
6/10/2021,5258
7/10/2021,5668
8/10/2021,5565
9/10/2021,5306
10/10/2021,3986
11/10/2021,3579
12/10/2021,5828
13/10/2021,6798
14/10/2021,6774
15/10/2021,4637
16/10/2021,4363
17/10/2021,5677
18/10/2021,4668
19/10/2021,5522
20/10/2021,3511
21/10/2021,3955
22/10/2021,6290
23/10/2021,6349
24/10/2021,4615
25/10/2021,3613
26/10/2021,4322
27/10/2021,5085
28/10/2021,5738
29/10/2021,5535
30/10/2021,3631
31/10/2021,5099
1/11/2021,2459
2/11/2021,3698
3/11/2021,3751
4/11/2021,3565
5/11/2021,3179
6/11/2021,2781
7/11/2021,2400
8/11/2021,1558
9/11/2021,1934
10/11/2021,1973
11/11/2021,1640
12/11/2021,886
13/11/2021,555
14/11/2021,863
15/11/2021,450
16/11/2021,1432
17/11/2021,1390
18/11/2021,1278
19/11/2021,785
20/11/2021,324
21/11/2021,1004
22/11/2021,1144
23/11/2021,1677
24/11/2021,1968
25/11/2021,1750
26/11/2021,2108
27/11/2021,1998
28/11/2021,1574
29/11/2021,1569
30/11/2021,3287
1/12/2021,2604
2/12/2021,2441
3/12/2021,2596
4/12/2021,2400
